"Fr�quences de livraison des villes et patelins C   MESSAGERIE
OUJDA,,X,X,X,X,X,,,,,,,,,,TISSA,X,,X,,X,,,KASITA,,,,X,,
JERRADA,,X,,X,,,,OUARZAZATE,Jours semaine,,,,,,,TAOUNATE,X,,X,,X,,,,,,,,,
NAIMA,,X,,X,,,,,L,M,M,J,V,S,,AIN MEDIOUNA,X,,,,,,,ESSAOUIRA,Jours semaine,,,,,
KENFOUDA,,X,,X,,,,OUARZAZATE,X,X,X,X,X,X,,GHAFSAI,X,,,,,,,,L,M,M,J,V,S
EL AIOUNE,X,,X,,X,,,D K MGOUNA,X,X,X,X,X,X,,KARIAT BA MED,,,X,,X,,,ESSAOUIRA ,X,X,X,X,X,X
TOUISSITE,,,,,,X,,TABOUNTE,X,X,X,X,X,X,,BOULMENE,,,,X,,,,TALMEST,,,X,,,
TAOURIRT,X,,X,,X,,,TARMIGT,X,X,X,X,X,X,,MISSOUR,,,,X,,,,BIRKOUAT,,,X,,,
OUJDA EL AIOUN  ,X,,X,,X,,,D BOUMALNE DADES,A LA DEMANDE,,,,,,,OUTAT EL HAJ,,,,X,,,,TAFTACHET,,X,,,,
BERKANE,,X,X,X,X,X,,TIDILI,A LA DEMANDE,,,,,,,KETAMA,X,,,,,,,SMIMOU,,,,,X,
AHFIR,X,,,X,,,,IMEGHRANE,A LA DEMANDE,,,,,,,BIR TAM TAM,,X,,,,,,AIT DAOUD,,,,,X,
AGHBAL,X,,,X,,,,SKOURA,A LA DEMANDE,,,,,,,GUIGOU,,,,X,,,,HAD DRA,X,,,,,
AKLIM,X,,,,,,,FOUM ZGUID,A LA DEMANDE,,,,,,,IMOUZER MARMOUCHA,,,,X,,,,GHAZWA,,,,,X,
BENIDRAR,X,,,X,,,,AIT ZINEB,A LA DEMANDE,,,,,,,AIN CHQEF,X,X,X,X,X,X,,TLAT ELHNCHAN,,X,,,,
SAIDIA,X,X,X,X,X,X,,TAZARINE,A LA DEMANDE,,,,,,,MOULAY YAAKOUB,X,X,X,X,X,X,,TAMANAR,,,,,X,
MARINA (via SAIDA),X,,,X,,,,N'KOB,A LA DEMANDE,,,,,,,SIDI HRAZEM,X,X,X,X,X,X,,OUNAGHA,,,X,,,
RAS EL MA (via SAIDA),X,,,X,,,,,,,,,,,,OULED ETTAYEB,X,X,X,X,X,,,,,,,,,
AIN BENI MATHAR,,,,,,,,TAZA,Jours semaine,,,,,,,BHALIL,,X,,X,,X,,MARRAKECH,Jours semaine,,,,,
TENDRARA ,,,,,,,,,L,M,M,J,V,S,,RAS TABOUDA,,X,,,,,,,L,M,M,J,V,S
BOUARFA,,,,,,,,AXE FES/TAOUNATE,,,,,,,,AIN AICHA,X,,X,,X,,,MARRAKECH,X,X,X,X,X,X
D FIGUIG,,,,,,,,OUTAT BOUABANE,,X,,,X,,,,,,,,,,,IMINTANOUT,X,,,X,,
,,,,,,,,BENI LENT,,X,,,X,,,MEKNES,Jours semaine,,,,,,,SIDI EL MOKHTAR,X,,,X,,
AGADIR,Jours semaine,,,,,,,BAB MARZOUKA,,X,,,X,,,,L,M,M,J,V,S,,CHICHAOUA,X,,,X,,
,L,M,M,J,V,S,,OUED AMLIL,,X,,,X,,,MEKNES,X,X,X,X,X,X,,MZOUDA,X,,,X,,
AGADIR,X,X,X,X,X,X,,BOUCHAFAA,,X,,,X,,,SIDI KACEM,X,,X,,X,,,MZODIA,X,,,X,,
INZEGANE,X,X,X,X,X,X,,BOUHLOU,,X,,,X,,,MY DRISS ZERHOUN,,,X,,,,,SIDI BOUZID,X,,,X,,
AIT MELLOUL,X,X,X,X,X,X,,AXE OUJDA,,,,,,,,BOUFAKRANE,X,,X,,X,,,HAD MJATT,X,,,X,,
BIOUGRA,X,X,X,X,X,,,GOLDMANE,,,X,,,,,EL HAJEB,X,,X,,X,,,TNINE OUDAYA,X,,,X,,
OULED BERHIL,,,,X,,,,TADART,,,X,,,,,JORF EL MELHHA,,,,,X,,,AIT OURIR,X,,,X,,
AOULOUZ,,,,X,,,,M'SOUN,,,X,,,,,KHENICHAT,,,,,X,,,SIDI RAHAL ,,,X,,,X
SEBT ELGUERDAN,,,,X,,,,HAD MSILA,,,X,,,,,AIN TAOUJTAT,,X,,X,,,,TAMLALT,,,X,,,X
OULED DAHOU,,,,X,,,,OULED ZBAIR,,,X,,,,,LAMHAYA,,X,,X,,,,HAD RAS EL AIN,,,X,,,X
ELKODIA,,,,X,,,,MEZGUITEM,,,X,,,,,SEBAA AYOUN,,X,,X,,,,EL ATTAOUIA,,,X,,,X
AIT IGAS,,,,X,,,,SEBT BENI FRASSEN,,,X,,,,,BOUDERBALA,,X,,X,,,,DEMNAT,,,X,,,
OULED ISSA,,,,X,,,,AXE EL HOCEIMA,,,,,,,,HAJ KADDOUR,,X,,X,,,,FRITTA,,,X,,,
HAD BELFAA,,X,,,X,,,AKNOUL,,X,,,X,,,SEBT JAHJOUH,A LA DEMANDE,,,,,,,SIDI BOUATMAN,,X,,,X,
KHMISS AIT AMIRA,,X,,,X,,,AJDIR,,X,,,X,,,RASS JERRI,A LA DEMANDE,,,,,,,BEN GUERIR,,X,,,X,
INCHADEN,,X,,,X,,,BOURED,,X,,,X,,,HAD KOURT,X,,,,,,,SKHOUR RHAMNA,,X,,,X,
MASSA,,X,,,X,,,TIZI OUSLI,,X,,,X,,,AIN KARMA,,,X,,,,,AMZMIZ,X,,,X,,
IFRANE REGION AGADIR,X,,,,,,,SID ALI BOUREKBA,,X,,,X,,,AIN EL ORMA,,,X,,,,,ASNI,X,,,X,,
TAGHJIJT,,,,,,X,,CASETA,,X,,,X,,,AIN JAMAA,,,X,,,,,OURIKA,X,,,X,,
AZROU REGION AGADIR,,X,,X,,,,,,,,,,,,SIDI ALI ,X,,,,,,,TAHANAOUT,X,,,X,,
TEMSIA,,X,,X,,,,SAFI,Jours semaine,,,,,,,ZEKkOUTA,X,,,,,,,OULAD HASSOUNE,A LA DEMANDE,,,,,
IMI MKOUREN,,,X,,,,,,L,M,M,J,V,S,,ZIRARA,X,,X,,X,,,TAMSLOUHT,X,,,X,,
AIT BAHA,,,X,,,,,SAFI,,X,X,X,X,X,,M'SAADA,,,,,X,,,TAMANSOURTE,X,X,X,X,X,X
TAGADIRT,X,,X,,,,,ECHEMMAIA,,X,,,X,,,AZROU,X,,X,,X,,,HARBIL,X,X,X,X,X,X
IGHRAM,X,,,,,,,YOUSSOUFIA,,X,,,X,,,SIDI ADDI,X,,,,,,,OULED DLIM ,A LA DEMANDE,,,,,
TATA & ASSA ZAG (1 fois/semaine alt�rnative),X,,,,,,,SEBT GZOULA,,X,X,X,X,,,AIN LEUH,X,,,,,,,K SERAGHNA ,X,X,X,X,X,X
AQQA (une fois/15j idem que ASSA ZAG),X,,,,,,,TNINE GHARBIA,X,,,,,,,OUED IFRANE,X,,,,,,,AIT IMOUR,X,,,X,,
LARBAA AIT BOUTAIB,,X,,,X,,,MOUL BARGUI,X,,,,,,,TIMAHDITE,,,X,,,,,ASSAHRIJ,,,X,,,X
SIDI MOUSSA ILHAMRI,,,,X,,,,TLAT IGHOUD,X,,,,,,,,,,,,,,,HAD LAMHARA,A LA DEMANDE,,,,,
AMSKROUD,X,,,,,,,TLAT  BOUGDRA,,X,,,X,,,KENITRA,Jours semaine,,,,,,,OUARGUI,A LA DEMANDE,,,,,
IMMOUZER REGION AGADIR,X,,,,,,,HAD HRARA,X,,,,,,,,L,M,M,J,V,S,,SIDI ABDELLAH GHAYAT,X,,,X,,
DRARGA,X,,X,X,,,,TNINE RHIAT,,X,X,X,X,,,KENITRA,X,X,X,X,X,X,,ZRIKTENE,A LA DEMANDE,,,,,
TIKIOUINE,X,,X,X,X,,,J SHAIM,,X,,,X,,,SIDI TAIBI,X,X,X,X,X,,,AIT AADELE,A LA DEMANDE,,,,,
AOURIR,,X,,X,,X,,KHEMIS NEGA,,X,X,X,X,,,MEHDYA,X,X,X,X,X,,,LARBEAA GHAJDAMA,A LA DEMANDE,,,,,
ANZA,,X,,X,,X,,ABDA RAS AIN,,X,,,X,,,AIN ARRIS,X,X,X,X,X,,,LARBAA TIGHADOUINE,A LA DEMANDE,,,,,
TAMRAGHT,,X,,X,,X,,SIDI AHMED /EL GANTOUR ,,X,,,X,,,SIDI YAHYA EL GHARB,X,X,X,X,X,X,,SIDI ZOUINE,A LA DEMANDE,,,,,
TAGHAZOUT,,X,,X,,X,,BEDDOUZA,,,X,,,,,SIDI SLIMANE,X,X,X,X,X,X,,NAZLAT LAADAME,,X,,,X,
TAMRI,,X,,X,,X,,DAR SIDI AISSA,X,,,,,,,DOMAINE ELEVAGE DUGHARB,X,X,X,X,X,,,TASSOULTANTE,X,,,X,,
,,,,,,,,LAAKARTA,,,X,,,,,BGHARA,X,X,X,X,X,X,,KETTARA,A LA DEMANDE,,,,,
KHOURIBGA,Jours semaine,,,,,,,JDOUR,,X,,,X,,,LEMRADSSA,X,X,X,X,X,X,,BOUABOUTE,X,,,X,,
,L,M,M,J,V,S,,LAMAACHAT,X,,,,,,,DAR BEL AMRI,X,X,X,X,X,,,OUAD LBOUR,X,,,X,,
KHOURIBGA,,X,X,X,X,X,,,,,,,,,,DAR GUEDDARI,X,X,X,X,X,,,AIT HADI,X,,,X,,
BOUJNIBA,X,X,X,X,X,X,,KHENIFRA,Jours semaine,,,,,,,SIDI LKAMEL 1,X,X,X,X,X,,,LARBAA TIRHEDOUINE,A LA DEMANDE,,,,,
CHAABA,X,X,X,X,X,X,,,L,M,M,J,V,S,,SIDI LKAMEL 2,X,X,X,X,X,,,AIT FASKA,A LA DEMANDE,,,,,
BOUNOIR,X,X,X,X,X,X,,KHENIFRA,X,X,X,X,X,X,,MECHRAA BELKSSIRI,X,X,X,X,X,X,,TOUAMA,A LA DEMANDE,,,,,
,,,,,,,,MRIRT,,,X,,,X,,HOUAFATE,X,X,X,X,X,,,LALLA TAKARKOUSTE,X,,,X,,
EL JADIDA,Jours semaine,,,,,,,TIGHSALINE,,X,,,,,,SOUK TLETA EL GHARB,X,X,X,X,X,,,TNINE OURIKA,X,,,X,,
,L,M,M,J,V,S,,AIT ISHAK,,X,,,,,,SOUK EL HAD OLAD JLOUL,X,,X,,,X,,TNINE BOUCHANE,A LA DEMANDE,,,,,
EL JADIDA,x,x,x,x,x,X,,LAKBAB,,X,,,,,,SIDI ALLAL TAZI,X,X,X,X,X,,,,,,,,,
SIDI BOUZID ,X,X,X,X,X,X,,AGHBALOU,,X,,,,,,SOUK EL ARBAA DU GHARB,X,X,X,X,X,,,TIZNIT,Jours semaine,,,,,
AZEMMOUR,X,X,X,X,X,X,,AGHBALA,,X,,,,,,SIDI MOHAMMED LHMAR,A LA DEMANDE,,,,,,,,L,M,M,J,V,S
CHTOUKA,X,,,X,,,,SIDI YAHYA OUSAAD,,X,,,,,,LALLA MIMOUNA,X,,X,,X,,,MIRLAFTE,,X,,,X,
sidi smail,X,X,X,X,X,,,OUAOUMANA,,X,,,,,,DAR JDIDA,X,,X,,X,,,LAKHESSASSE,,X,,,X,
elmarkaz touilaate,X,X,X,X,X,,,KERROUCHEN,,X,,,,,,DLALHA,X,,X,,X,,,ANZI,,X,,,X,
sebt saiss,X,X,X,X,X,,,MLY BOUAZZA,,,,,X,,,MOULAY BOUSLHAM,X,,X,,X,,,TIGHEMI,,X,,,X,
saniat berguig,X,X,X,X,X,,,AGUELMOUS,,,,,X,,,ARBAOUA,X,X,X,X,X,,,TIGHIRTE,,X,,,X,
khmis zemamra,X,X,X,X,X,,,HAD BOUHSASSEN,,,,,X,,,KSAR EL KEBIR,X,X,X,X,X,,,AIT REKHA,,X,,,X,
Oulad bouhmam,X,X,X,X,X,,,SEBT AIT RAHHOU,,,,,X,,,,,,,,,,,KHMISS TIGHZA,,X,,,X,
sidi bennour,X,X,X,X,X,,,TNIN KEHF EN NSOUR,,,,,,X,,MIDELT ,Jours semaine,,,,,,,AGLOU,,X,,,X,
MTAL,X,X,X,X,X,,,,,,,,,,,,L,M,M,J,V,S,,AIT JERAR,,X,,,X,
ouled amrane,X,X,X,X,X,,,K TADLA,Jours semaine,,,,,,,MIDELT,X,X,X,X,X,X,,BOUNAAMANE,,X,,,X,
sebt lamaarif,x,x,x,x,x,,,,L,M,M,J,V,S,,ZAIDA,,,X,,X,,,AIT JERAR,,X,,,X,
TLAT OULAD HAMDAN,X,X,X,X,X,X,,K TADLA,X,X,X,X,X,X,,BOUMIA,,,X,,,,,,,,,,,
JAMAAT HAOUZIA,X,X,X,X,X,X,,BEJAAD,,X,X,,X,,,AIT AYACHE,,,,X,,,,TETOUAN,Jours semaine,,,,,
CHAAIBAT,X,X,X,X,X,,,OUED ZEM,,X,X,,X,,,TOUNFIT,,,X,,,,,,L,M,M,J,V,S
had ouled frej,X,X,X,X,X,,,LAGFAF,,X,X,,X,,,ITZER,,,,,X,,,TETOUAN,X,X,X,X,X,X
khmis metouh,X,X,X,X,X,,,EL KSIBA,X,,,,,,,,,,,,,,,LARACHE ,,X,X,X,X,X
boulaouane ,x,x,x,x,x,,,OULAD YAAICH,X,,,,,,,ERRACHIDIA RENFORT ,Jours semaine,,,,,,,KOUILMA,X,X,X,X,X,X
LARBAA LAAOUNAT,X,X,X,X,X,,,OULAD YOUSSEF,X,,,,,,,,L,M,M,J,V,S,,MALALYNE (MARJANE),X,X,X,X,X,X
had laaounate,X,X,X,X,X,,,OULAD SAID,X,,,,,,,ERRACHIDIA,X,X,X,X,X,X,,MARTIL,X,X,X,X,X,X
KHMIS KSAIBA,X,X,X,X,X,,,OULAD ABDELLAH,X,,,,,,,TALSINTE,,,,,,X,,CABO NEGRO,X,X,X,X,X,X
beni hlal,X,X,X,X,X,,,TAGZERT,X,,,,,,,BNI TAJJITE,,,,,,X,,M'DIQ,X,X,X,X,X,X
sept ouled douib,X,X,X,X,X,,,OULED SMAIL,X,,,,,,,GOURRAMA,,,,,,X,,KABILA,X,X,X,X,X,X
moulay abdellah,X,X,X,X,X,,,ZIDANIA,X,,,,,,,IMILCHIL,A LA DEMANDE,,,,,,,MARINA SMIR,X,X,X,X,X,X
sidi aabed,X,X,X,X,X,,,IGHREM LAALAM,,X,,,X,,,ALNIF,,,,,,X,,RESTINGA,X,X,X,X,X,X
el jorf,X,X,X,X,X,,,ZAOUIA CHEIKH,,X,,,X,,,RICH,,,,,,X,,FNIDAQ,X,X,X,X,X,X
had oulad aissa ,x,x,x,x,x,,,BNI BATAOU,,X,,,X,,,,,,,,,,,OUAD LAOU,X,,,,,
jemaat ouled ghanem,,,X,,,X,,BENI ZRANTEL,,X,,,X,,,"ZONE SUD (Plan autocar)
RENFORT",Jours semaine,,,,,,,BAB BERRED,X,,,,,
OUALIDIA,,,X,,,X,,,,,,,,,,,L,M,M,J,V,S,,SETIHAT,X,,,,,
,,,,,,,,Plan autocar,Jours semaine,,,,,,,GUELMIM,X,X,X,X,X,X,,ZINAT,X,,,,,
AL HOCEIMA,Jours semaine,,,,,,,,L,M,M,J,V,S,,TANTAN,X,X,X,X,X,X,,DAR BENKARICH,X,,,,,
,L,M,M,J,V,S,,IFRANE,X,X,X,X,X,X,,AKHFENNIR,X,X,X,X,X,X,,LARBAA BENI HASSAN,X,,,,,
TARGUIST,,,,,X,,,TAZNAKHT,X,X,X,X,X,X,,TARFAYA,X,X,X,X,X,X,,JEBHA ,X,,,,,
ISSAGUEN,,,,,X,,,AGDEZ ,X,X,X,X,X,X,,LAAYOUNE,X,X,X,X,X,X,,BNI RZINE,X,,,,,
AIT KAMRA,,,,,X,,,ZAGORA ,X,X,X,X,X,X,,BOUJDOUR,X,X,X,X,X,X,,AIN DORIJ,X,,,,,
BENI ABDELLAH,,,,,X,,,TAGOUNIT ,X,X,X,X,X,X,,DAKHLA,X,X,X,X,X,X,,AIN LAHCEN,A LA DEMANDE,,,,,
BENI HADIFA,,,,,X,,,ESSAOUIRA ,X,X,X,X,X,X,,"ZONE SUD (Plan camionnage au d�part d'AGADIR)
RENFORT",Jours semaine,,,,,,,,,,,,,
,,,,,,,,MIDELT,X,X,X,X,X,X,,,L,M,M,J,V,S,,,,,,,,
TAROUDANT,Jours semaine,,,,,,,CHEFCHAOUEN,X,X,X,X,X,X,,LAAYOUNE,,,X,,,,,,,,,,,
,L,M,M,J,V,S,,OUEZZANE,X,X,X,X,X,X,,GUELMIM,,,X,,,,,,,,,,,
MECHRAA ELAIN,X,X,X,X,X,X,,AGDEZ,X,X,X,X,X,X,,TANTAN,,,X,,,,,,,,,,,
AIT  AIZZA,X,X,X,X,X,X,,ZAGORA,X,X,X,X,X,X,,BOUJDOUR,,,,X,,,,,,,,,,
AIT IGAS,X,X,X,X,X,X,,TAGOUNIT,X,X,X,X,X,X,,DAKHLA,,,,X,,,,,,,,,,
,,,,,,,,SMARA,X,X,X,X,X,X,,,,,,,,,,,,,,,,
,,,,,,,,RISSANI,X,X,X,X,X,X,,,,,,,,,,,,,,,,
,,,,,,,,ERFOUD,X,X,X,X,X,X,,,,,,,,,,,,,,,,
,,,,,,,,TINJDAD,X,X,X,X,X,X,,,,,,,,,,,,,,,,
,,,,,,,,TINGHIR,X,X,X,X,X,X,,,,,,,,,,,,,,,,3
,,,,,,,,GOULMIMA,X,X,X,X,X,X,,,,,,,,,,,,,,,,
,,,,,,,,ALHOCEIMA,X,X,X,X,X,X,,,,,,,,,,,,,,,,
,,,,,,,,OULAD TEIMA,X,X,X,X,X,X,,,,,,,,,,,,,,,,
,,,,,,,,TAROUDANT,X,X,X,X,X,X,,,,,,,,,,,,,,,,
,,,,,,,,TIZNIT,X,X,X,X,X,X,,,,,,,,,,,,,,,,
,,,,,,,,TAFRAOUT,X,X,X,X,X,X,,,,,,,,,,,,,,,,
,,,,,,,,SIDI IFNI,X,X,X,X,X,X,,,,,,,,,,,,,,,,
,,,,,,,,TAZNAKHT,X,X,X,X,X,X,,,,,,,,,,,,,,,,
,,,,,,,,TALIOUINE,X,X,X,X,X,X,,,,,,,,,,,,,,,,
